系统,一级模块,分组,功能菜单,页面文件,功能要点,优先级,修改内容 - 0911-1-bhong,功能要点
,工作台,概览,工作台,admin/dashboard.html,今日新增线索、待开播、待促到、待处理订单摘要；快捷入口,P0,,
商家管理后台,SCRM,全域获客,视频号,admin/videos.html,视频号授权（店铺授权、橱窗绑定）,P0,,一期，仅对接订单，不对接上传商品
商家管理后台,SCRM,客户中心,线索池,admin/leads.html,多 Tab（待分配/导入历史）、批量分配、导出,P0,,
商家管理后台,SCRM,业务设置,分配规则,admin/lead-rule.html,线索自动分配规则配置,P0,,
商家管理后台,SCRM,客户中心,跟进管理,admin/follow-ups.html,跟进记录与待跟进任务,P0,,
商家管理后台,SCRM,客户中心,企微群跟进,admin/group-follow.html,企微群客户跟进,P0,,
商家管理后台,SCRM,客户中心,规则配置,admin/rules-config.html,分配与运营规则（去业务强绑定）,P0,,
商家管理后台,SCRM,客户中心,审批管理,admin/approval.html,审批流程与记录,P1,,
商家管理后台,SCRM,客户中心,客户继承,admin/wecom-inherit.html,离职客户继承,P1,,
商家管理后台,SCRM,客户中心,流失提醒,admin/wecom-churn.html,客户流失预警,P1,,
商家管理后台,SCRM,客户中心,重复线索,admin/leads-dup.html,重复线索识别与合并,P0,,
商家管理后台,SCRM,营销管理,欢迎语管理,admin/welcome.html,新客欢迎语配置,P0,,
商家管理后台,SCRM,营销管理,获客链接,admin/acquire-links.html,渠道获客链接生成与追踪,P0,,
商家管理后台,SCRM,营销管理,渠道活码,admin/channel-livecode.html,企微渠道活码,P0,,
商家管理后台,SCRM,营销管理,群活码管理,admin/group-livecode.html,客户群活码,P0,,
商家管理后台,SCRM,营销管理,拉群模板,admin/group-template.html,自动建群模板,P1,,
商家管理后台,SCRM,营销管理,客户群发,admin/mass-customer.html,群发内容与范围,P0,,
商家管理后台,SCRM,营销管理,客户群群发,admin/mass-group.html,客户群批量群发,P1,,
商家管理后台,SCRM,营销管理,群发朋友圈,admin/mass-moment.html,朋友圈批量发布,P1,,
商家管理后台,SCRM,营销管理,直播促到 SOP,admin/live-invite.html,预约/催到/未到场召回的短信触达计划,P0,,
商家管理后台,SCRM,营销管理,快捷任务,admin/quick-tasks.html,快捷任务派发,P0,,
商家管理后台,SCRM,营销管理,个人 SOP,admin/sop-personal.html,个人跟进 SOP,P1,,
商家管理后台,SCRM,营销管理,群 SOP,admin/sop-group.html,群运营 SOP,P1,,
商家管理后台,SCRM,营销管理,待办日历,admin/todo-calendar.html,运营待办日历,P1,,
商家管理后台,SCRM,内容中心,助销素材库,admin/material.html,销售素材管理与分发,P0,,
商家管理后台,SCRM,内容中心,快捷话术库,admin/phrases.html,话术模板,P0,,
商家管理后台,SCRM,内容中心,自定义表单,admin/quick-form.html,表单设计、预览、填写（form-edit / form-preview / form-fill）,P1,,
运营后台,系统管理,渠道管理,ops/channel-mgmt.html,渠道定义与授权,P0,,
商家管理后台,SCRM,业务设置,侧边栏管理,admin/sidebar-mgmt.html,企微侧边栏配置,P1,,
商家管理后台,直播,直播,·,admin/lives.html,执行状态 × 审核状态双状态；创建/编辑/中控台入口,P0,,
商家管理后台,直播,直播,预约管理,admin/live-booking.html,预约名单、推送记录、开播提醒订阅,P0,,
商家管理后台,直播,直播,直播回放,admin/live-replay.html,回放上下架、权重、预览,P0,,
商家管理后台,直播,直播,创建/编辑直播,admin/live-edit.html,标题/封面/时间/主讲/观看权限/挂载商品,—,,
商家管理后台,直播,直播,直播详情,admin/live-detail.html,直播完整信息,—,,
商家管理后台,直播,直播,直播中控台,admin/live-control.html,媒体源、实时预览、设置、互动、营销抽屉、开播预检,P0,,
商家管理后台,直播,直播,直播大屏,admin/live-screen.html,实时 KPI、消息流、带货商品、趋势曲线,P0,,
商家管理后台,直播,直播,直播数据,admin/live-stats.html,场次数据统计,P1,,
商家管理后台,直播,直播,预告页预览,admin/live-preview.html,C 端预告页移动端预览,P0,,
商家管理后台,直播,直播,分享邀请,admin/live-share.html,链接/二维码/海报、邀请排行与转化,P0,,
商家管理后台,直播,直播,直播审核,admin/live-audit.html,待审列表、批量通过、等待时长分档,P0,,
商家管理后台,直播,直播,审核详情,admin/live-audit-detail.html,内容只读预览 + 审核维度 + 通过/驳回,—,,
商家管理后台,直播,直播,驳回记录,admin/live-rejected.html,驳回列表与重新提交入口,P1,,
商家管理后台,内容,内容管理,系列课,admin/content-series.html,系列课列表、目录管理、上架/下架/排序,P0,,
商家管理后台,内容,内容管理,视频,admin/content-video.html,视频内容管理,P0,,
商家管理后台,内容,内容管理,图文,admin/content-article.html,图文内容管理,P0,,
商家管理后台,内容,内容管理,内容分类,admin/content-category.html,分类管理、排序、启停（内容分类唯一取值来源）,P0,,
商家管理后台,内容,测评管理,测评项目,admin/assess-projects.html,题目、评分规则、关联规则（assess-questions / assess-scoring / assess-relations）,P1,,
商家管理后台,内容,测评管理,系列测评,admin/assess-series.html,系列测评组合与报告,P1,,
商家管理后台,内容,测评管理,测评结果,admin/assess-results.html,参与者结果与报告导出,P1,,
商家管理后台,内容,计划管理,定制化计划,admin/assess-plans.html,计划与关卡配置（assess-plan-stages）,P1,,
商家管理后台,内容,内容管理,课程（历史页）,admin/courses.html / admin/course-edit.html,早期单课页，已被系列课替代,—,,
商家管理后台,小程序,店铺装修,店铺首页,admin/mp-home.html,Banner、金刚位、分类标签、楼层；C 端预览,P0,,
商家管理后台,小程序,店铺装修,店铺设置,admin/mp-settings.html,店铺信息、搜索热词、试看策略、支付成功页文案,P0,,
商家管理后台,小程序,功能配置,领课兑换,admin/mp-claim.html,兑换设置、企微引导、批次、兑换记录,P0,,
商家管理后台,小程序,功能配置,直播展示,admin/mp-live.html,排期展示、商品挂载、互动设置,P0,,
商家管理后台,小程序,数据,小程序数据,admin/mp-data.html,概览、趋势、转化漏斗、内容排行、来源（7/30 天）,P0,,
商家管理后台,交易,订单管理,订单列表,admin/orders.html,订单查询与详情（order-detail）,P0,,
商家管理后台,交易,订单管理,权益开通记录,admin/entitlement.html,支付后权益开通台账,P0,,
商家管理后台,交易,订单管理,订单退款,admin/refunds.html,退款申请与审核,P0,,
商家管理后台,交易,商品管理,我的商品,admin/goods.html,知识/服务/组合商品（已去实物化）,P0,,
商家管理后台,交易,商品管理,新建商品,admin/goods-edit.html,商品创建与交付售后设置,P0,,
商家管理后台,交易,售后管理,退款与权益回收,admin/aftersales.html,售后单处理与权益回收（aftersale-detail）,P0,,
商家管理后台,交易,资产管理,资产总览,admin/assets.html,账户余额与昨日收支,P0,,
商家管理后台,交易,资产管理,交易账单,admin/bills.html,收支明细与按日汇总,P0,,
商家管理后台,交易,资产管理,提现管理,admin/withdraw.html,手动/自动提现、留存设置,P0,,
商家管理后台,交易,资产管理,对账管理,admin/recon.html,渠道账单逐笔核对、差异处理,P0,,
商家管理后台,交易,资产管理,结算单,admin/settlement.html,账期结算、分账明细、确认,P0,,
商家管理后台,交易,交易设置,收款与清分,admin/payment.html,通联平台商户、会员进件、收单渠道,P0,,
商家管理后台,交易,交易设置,分账规则配置,admin/split-rules.html,分账方与比例、结算周期、试算,P0,,
商家管理后台,交易,交易设置,开票设置,admin/invoice.html,买家开票、开票主体、自动开票审核,P1,,
商家管理后台,交易,交易设置,交易选项,admin/trade-settings.html,合并下单、退款设置等,P1,,
商家管理后台,用户,用户管理,用户列表,admin/users.html,状态、标签、是否加微、消费次数/金额（user-detail）,P0,,
商家管理后台,用户,用户管理,标签管理,admin/user-tags.html,手动标签体系,P0,,
商家管理后台,用户,用户运营,用户分群,admin/user-segments.html,系统人群 + 自定义人群、条件组合、更新方式,P1,,
商家管理后台,用户,用户运营,定向运营计划,admin/ops-plans.html,目标人群 × 发放内容 × 执行周期、效果回流,P1,,
商家管理后台,经营分析,经营分析,总览,admin/board-overview.html,核心经营指标总览,P0,,
商家管理后台,经营分析,经营分析,期次经营复盘,admin/board-term-review.html,按推广期次复盘,P0,,
商家管理后台,经营分析,经营分析,获客,admin/board-acquire.html,视频号订单数、领课率、加微率（board-follow / board-handoff）,P0,,
商家管理后台,经营分析,经营分析,私域转化,admin/board-private.html,私域跟进与转化,P0,,
商家管理后台,经营分析,经营分析,直播,admin/board-live.html,预约数、到课率、直播间成交,P0,,
商家管理后台,经营分析,经营分析,交易,admin/board-convert.html,GMV、客单价、复购,P0,,
商家管理后台,系统管理,系统用户管理,用户列表,admin/sys-users.html,后台账号管理,P0,,
商家管理后台,系统管理,系统用户管理,部门管理,admin/depts.html,三级组织架构,P0,,
商家管理后台,系统管理,系统用户管理,用户角色,admin/user-roles.html,角色与成员,P0,,
商家管理后台,系统管理,系统用户管理,权限配置,admin/permissions.html,资源树权限勾选,P0,,
商家管理后台,系统管理,消息与通知,消息推送,admin/message-push.html,小程序服务通知 / 短信 / 站内信、场景模板、发送记录,P1,,
商家管理后台,商家后台非菜单页,—,—,admin/scrm-overview.html,SCRM 工作台（现网驾驶舱对齐页）,—,,
商家管理后台,商家后台非菜单页,—,—,admin/td-goods.html,商品页早期版本,—,,
商家管理后台,商家后台非菜单页,—,—,admin/diag.html / admin/test-tabs.html,组件与导航调试页,—,,
小程序,首页,首页,,miniprogram/home.html,Banner + 定制化计划入口（细长条，条件展示）+ 精选课程,P0,,
小程序,—,课程详情,,miniprogram/course.html,试看封面、价格、目录、立即购买,P0,,
小程序,直播,直播列表,,miniprogram/lives.html,进行中 / 预告 / 回放三态、预约提醒,P0,,
小程序,—,直播间,,miniprogram/live-room.html,直播画面、弹幕、商品挂载、门票与购课,P0,,
小程序,—,领课页,,miniprogram/claim.html,视频号短信落地、领课兑换、引导加企微,P0,,
小程序,—,学习页,,miniprogram/learn.html,播放器占位、目录进度、标记完成,P0,,
小程序,我的,我的,,miniprogram/mine.html,用户卡、我的课程/直播、更多服务（定制化计划/领课兑换/我的订单/加企微）,P0,,
小程序,我的,我的订单,,miniprogram/orders.html,状态筛选（全部/待付款/已完成/已退款）、订单卡、去支付/去学习/看回放,P0,,
小程序,—,支付结果,,miniprogram/pay-result.html,按来源（课程/直播/门票）切换文案与按钮,P0,,
小程序,—,定制化计划,,miniprogram/assess.html,计划卡（进度、关卡步骤）、继续测评、自助测评列表,P0,,
运营后台,工作台,概览,运营工作台,ops/dashboard.html,全局统计卡、平台待办（审核/结算/风控）、租户动态,P0,,
运营后台,内容,内容管理,系列课管理,ops/content-series.html,平台标准内容生产（content-series-edit/detail/outline）,P0,,
运营后台,内容,内容管理,视频管理,ops/content-video.html,平台视频内容（content-video-edit/detail）,P0,,
运营后台,内容,内容管理,图文管理,ops/content-article.html,平台图文内容（content-article-edit/detail）,P0,,
运营后台,内容,内容管理,商品分组,ops/content-category.html,平台内容分组,P0,,
运营后台,内容,测评管理,测试项目管理,ops/assess-projects.html,题目、评分、关联规则,P1,,
运营后台,内容,测评管理,系列测评管理,ops/assess-series.html,系列测评与报告,P1,,
运营后台,内容,测评管理,测评结果,ops/assess-results.html,跨租户测评结果,P1,,
运营后台,内容,计划管理,定制化计划,ops/assess-plans.html,计划与关卡,P1,,
运营后台,内容,平台审核,平台审核工作台,ops/audit.html,待审队列、4 类内容 + 直播、批量通过、驳回原因,P0,,
运营后台,内容,平台审核,平台审核记录,ops/audit-records.html,审核历史、通过率、申诉入口,P0,,
运营后台,交易与结算,资金,对账管理,ops/recon.html,T+1 对账单列表 + 差异工单双 Tab、催确认、复核申诉,P0,,
运营后台,交易与结算,资金,对账单详情,ops/recon-detail.html,金额构成、订单级明细、确认与申诉时间轴,P0,,
运营后台,交易与结算,资金,差异工单详情,ops/recon-diff-detail.html,平台/渠道记录对比、5 种处置动作、举证附件,P0,,
运营后台,交易与结算,资金,结算管理,ops/settlements.html,结算单列表、勾选批量复核/打款,P0,,
运营后台,交易与结算,资金,结算单详情,ops/settlement-detail.html,金额构成、分账明细、双人复核与打款,P0,,
运营后台,交易与结算,资金,提现审核,ops/payouts.html,提现列表、风控标记、审核弹窗、详情抽屉,P0,,
运营后台,交易与结算,财务,发票管理,ops/invoices.html,双向开票、红冲、与结算联动,P1,,
运营后台,交易与结算,财务,服务费台账,ops/fee-ledger.html,服务费收入趋势、租户 Top5、渠道结构、明细,P1,,
运营后台,交易与结算,风控与规则,资金风控,ops/fund-risk.html,监控水位、风控规则、拦截与预警记录,P1,,
运营后台,交易与结算,风控与规则,结算规则配置,ops/settle-rules.html,优先级、适用范围、分账比例、账期、门槛、留存、先票后款,P0,,
运营后台,全局数据,全局看板,经营总览,ops/data.html,平台 GMV、订单、用户、服务费、内容、租户排行、结算总览,P0,,
运营后台,全局数据,全局交易,全局订单,ops/orders.html,跨租户订单查询（平台视角，只读）,P0,,
运营后台,系统管理,系统用户管理,用户列表,ops/sys-users.html,运营后台账号、新增/编辑/同步,P0,,
运营后台,系统管理,系统用户管理,部门管理,ops/sys-depts.html,平台三级组织,P0,,
